Airfoils,upper0.75c,lower0.75c,t0.75c,AoF_Cl0.5,Cd,Cl/Cd
NACA 63A010,0.02545,-0.02545,0.0509,4.1,0.01236,40.45307443
NACA 63012A,0.03026,-0.03026,0.06052,4,0.01244,40.19292605
NACA 63-015A,0.03731,-0.03731,0.07462,3.9,0.01364,36.6568915
NACA 63-210,0.03061,-0.01271,0.04332,2.4,0.01117,44.76275739
NACA 63-212,0.03451,-0.01661,0.05112,2.3,0.01127,44.36557232
NACA 63-215,0.04014,-0.02224,0.06238,2.3,0.01205,41.49377593
NACA 63(2)-215 MOD B,0.0402,-0.0221,0.0623,2,0.01325,37.73584906
NACA 63-412,0.04344,-0.00764,0.05108,0.7,0.01113,44.92362983
NACA 63-415,0.04907,-0.01327,0.06234,0.6,0.01236,40.45307443
NACA 64-008A ,0.02117,-0.02117,0.04234,4.3,0.01118,44.72271914
NASA-LANGLEY 64-012,0.02695,-0.02695,0.0539,4.1,0.01185,42.19409283
NACA 64-012A,0.03118,-0.03118,0.06236,4.1,0.01259,39.71405878
NACA 642-015,0.03296,-0.03296,0.06592,3.9,0.01294,38.63987635
NACA 642-015A,0.03847,-0.03847,0.07694,3.9,0.0141,35.46099291
NACA 64-108,0.02302,-0.01406,0.03708,3.4,0.01077,46.42525534
NACA 64-110,0.02729,-0.01833,0.04562,3.3,0.01101,45.41326067
NACA 64(1)-212,0.0359,-0.018,0.0539,2.3,0.0116,43.10344828
NACA 64(1)-212 MOD A,0.040792,-0.013079,0.053871,1.2,0.01295,38.61003861
NACA 64(1)-212 MOD B,0.0359,-0.018,0.0539,2.2,0.01177,42.4808836
NACA 64-215,0.04191,-0.02401,0.06592,2.2,0.01278,39.12363067
NACA 66-021,0.06251,-0.06251,0.12502,3.9,0.01682,29.72651605
NACA 63-206,0.02237,-0.00447,0.02684,2.6,0.01011,49.45598417
NACA 63-209,0.02861,-0.01071,0.03932,2.5,0.01083,46.16805171
NACA 63(2)-615,0.058,-0.0043,0.0623,-1,0.01201,41.63197336
NACA 63(2)A-015,0.04253,-0.03195,0.07448,2.8,0.01259,39.71405878
NACA 63(3)-018,0.03655,-0.03655,0.0731,3.9,0.01454,34.38789546
NACA 63(3)-218,0.04544,-0.02754,0.07298,2.2,0.01341,37.28560776
NACA 63,0.05469,-0.01814,0.07283,0.7,0.01128,44.32624113
NACA 63(3)-618,0.0633,-0.0096,0.0729,-1.1,0.01349,37.06449222
NACA 63(4)-221,0.05054,-0.03264,0.08318,2.1,0.0144,34.72222222
NACA 63(4)-421,0.05947,-0.02367,0.08314,0.4,0.01394,35.86800574
NACA 63A210,0.03624,-0.01464,0.05088,2.4,0.01216,41.11842105
NACA 64(1)-112,0.03143,-0.02247,0.0539,3.2,0.01161,43.06632214
NACA 64-206,0.02307,-0.00517,0.02824,2.6,0.01003,49.85044865
NACA 64-208,0.02749,-0.00959,0.03708,2.5,0.01052,47.52851711
NACA 64-209,0.02964,-0.01174,0.04138,2.5,0.01105,45.24886878
NACA 64-210,0.03176,-0.01386,0.04562,2.4,0.01149,43.51610096
NACA 64(2)-215,0.04191,-0.02401,0.06592,2.2,0.01278,39.12363067
NACA 64(2)-415,0.05084,-0.01504,0.06588,0.6,0.01219,41.01722724
NACA 64(3)-218,0.0476,-0.0297,0.0773,2.2,0.01318,37.93626707
NACA 64(3)-418,0.05654,-0.02074,0.07728,0.5,0.01275,39.21568627
NACA 64(3)-618,0.06544,-0.01174,0.07718,-1.1,0.01361,36.73769287
NACA 64(4)-221,0.0531,-0.0352,0.0883,2.1,0.01462,34.1997264
NACA 64(4)-421,0.06203,-0.02623,0.08826,0.4,0.01397,35.79098067
NACA 64A-010 10.0%,0.026205,-0.026205,0.05241,4.1,0.0124,40.32258065
NACA 64A210,0.03702,-0.01542,0.05244,2.4,0.01188,42.08754209
NACA 64A410,0.0478,-0.0046,0.0524,0.8,0.0118,42.37288136
NACA 65(1)-212,0.03954,-0.02164,0.06118,2.3,0.01205,41.49377593
NACA 65(1)-212 a=0.6,0.03983,-0.02131,0.06114,2.7,0.01236,40.45307443
NACA 65(1)-412,0.04847,-0.01267,0.06114,0.7,0.01173,42.62574595
NACA 65-206,0.02489,-0.00699,0.03188,2.6,0.01026,48.73294347
NACA 65-209,0.03237,-0.01447,0.04684,2.5,0.01133,44.13062665
NACA 65-210,0.03479,-0.01689,0.05168,2.4,0.01148,43.55400697
NACA 65(2)-215,0.04638,-0.02848,0.07486,2.2,0.0125,40
NACA 65(2)-415,0.05532,-0.01952,0.07484,0.6,0.01215,41.15226337
NACA 65(2)-415 a=0.5,0.05387,-0.02083,0.0747,1.3,0.01299,38.49114704
NACA 65(3)-218,0.0529,-0.035,0.0879,2.2,0.01405,35.58718861
NACA 65(3)-618,0.07075,-0.01705,0.0878,-1.1,0.01399,35.73981415
NACA 65-410,0.04372,-0.00792,0.05164,0.7,0.01136,44.01408451
NACA 65(4)-221,0.05918,-0.04128,0.10046,2.2,0.01489,33.57958361
NACA 65(4)-421,0.06811,-0.03231,0.10042,0.4,0.01432,34.91620112
NACA 65(4)-421 a=0.5,0.06664,-0.0336,0.10024,1.1,0.01541,32.44646334
NACA 66-018,0.05451,-0.05451,0.10902,3.9,0.01607,31.11387679
NACA 66(1)-212,0.04661,-0.02871,0.07532,2.3,0.01256,39.8089172
NACA 66-206,0.02848,-0.01058,0.03906,2.6,0.01059,47.21435316
NACA 66-209,0.03772,-0.01982,0.05754,2.5,0.01128,44.32624113
NACA 66-210,0.04071,-0.02281,0.06352,2.4,0.01184,42.22972973
NACA 66(2)-215,0.05526,-0.03736,0.09262,2.2,0.01356,36.87315634
NACA 66(2)-415,0.06419,-0.02839,0.09258,0.5,0.01321,37.85011355
NACA 66(3)-218,0.06345,-0.04555,0.109,2.2,0.01482,33.73819163
NACA 66(3)-418,0.07238,-0.03658,0.10896,0.5,0.01398,35.76537911
NACA 66(4)-221,0.07145,-0.05355,0.125,2.1,0.01617,30.92145949
NACA 67,0.06515,-0.04725,0.1124,2.2,0.01408,35.51136364
NACA 22112,0.034496,-0.028703,0.063199,3.2,0.0137,36.49635036
NACA 23012  12%,0.03712,-0.02607,0.06319,2.8,0.01509,33.13452618
NACA 23015,0.0449,-0.0337,0.0786,2.7,0.01516,32.98153034
NACA 23018,0.0529,-0.0415,0.0944,2.6,0.01527,32.74394237
NACA 23021,0.0607,-0.04925,0.10995,2.5,0.01737,28.78526195
NACA 23024,0.068375,-0.057335,0.12571,2.4,0.01589,31.46633103
NACA 23112,0.03492,-0.028273,0.063193,3.1,0.01329,37.62227239
NACA 24112,0.034943,-0.02824,0.063183,3.2,0.01399,35.73981415
NACA 25112,0.035645,-0.027518,0.063163,3.1,0.01407,35.5366027
NACA-0009 9.0% smoothed,0.02384,-0.02384,0.04768,4.1,0.0116,43.10344828
NACA 0012,0.0312405,-0.0312405,0.062481,4,0.01413,35.38570418
NACA 2414,0.05004,-0.02365,0.07369,1.8,0.0164,30.48780488
NACA 2415,0.05267,-0.02628,0.07895,1.7,0.01687,29.63841138
NACA6409 9%,0.06283,0.01634,0.04649,-2.3,0.01027,48.68549172
NACA 0006,0.01572,-0.01572,0.03144,4.4,0.01137,43.97537379
NACA 0008,0.02096,-0.02096,0.04192,4.3,0.01037,48.21600771
NACA 0010,0.0262,-0.0262,0.0524,4.2,0.01299,38.49114704
NACA0012H,0.0316,-0.0316,0.0632,3.9,0.01511,33.09066843
NACA 0015,0.039295,-0.039295,0.07859,3.9,0.01617,30.92145949
NACA 0018,0.047155,-0.047155,0.09431,3.8,0.01535,32.5732899
NACA 0021,0.055015,-0.055015,0.11003,3.7,0.01791,27.9173646
NACA 0024,0.062875,-0.062875,0.12575,3.7,0.02057,24.30724356
NACA 1408,0.02749,-0.01443,0.04192,3.1,0.01095,45.66210046
NACA 1410,0.032725,-0.019665,0.05239,3,0.01284,38.94080997
NACA 1412,0.037955,-0.024895,0.06285,2.9,0.01241,40.29008864
NACA 2408,0.034,0.00789,0.02611,2,0.01025,48.7804878
NACA 2410,0.039235,-0.013125,0.05236,1.9,0.01117,44.76275739
NACA 2.5411,0.04506,-0.01208,0.05714,1.3,0.01076,46.46840149
NACA 2412,0.04465,-0.0182,0.06285,1.8,0.01237,40.42037187
NACA 2418,0.0605,-0.03385,0.09435,1.5,0.01522,32.85151117
NACA 2421,0.0684,-0.04155,0.10995,1.4,0.01945,25.70694087
NACA 2424,0.07588,-0.04977,0.12565,1.4,0.013,38.46153846
NACA 4412,0.0579,-0.0052,0.0631,-0.4,0.01275,39.21568627
NACA 4415,0.06642,-0.01277,0.07919,-0.4,0.01179,42.40882103
NACA 4418,0.07385,-0.0206,0.09445,-0.7,0.01534,32.59452412
NACA 4421,0.08205,-0.0283,0.11035,-0.9,0.01896,26.37130802
NACA 4424,0.088795,-0.036575,0.12537,-0.8,0.01594,31.36762861
NACA 6412,0.07097,0.00813,0.06284,-0.6,0.01271,39.33910307
LOCKHEED L-188 ROOT,0.055843,-0.023435,0.079278,1.7,0.01665,30.03003003
LOCKHEED L-188 TIP,0.057397,-0.014185,0.071582,1,0.01619,30.88326127
LISSAMAN 7769,0.02485,-0.00375,0.0286,1.8,0.0105,47.61904762
DOUGLAS LA203A,0.072292,0.007686,0.064606,-3.8,0.01302,38.40245776
LA2573A,0.022729,-0.026973,0.049702,3.5,0.01238,40.38772213
LIEBECK LA5055,0.0454,-0.0056,0.051,0.4,0.0169,29.58579882
LDS-2,0.043616,-0.016202,0.059818,1.7,0.01169,42.77159966
LOCKHEED-GEORGIA SUPERCRITICAL,0.03415,-0.02489,0.05904,3,0.01147,43.59197908
LNV109A,0.031312,0.00534,0.025972,0.7,0.01184,42.22972973
lrn1007,0.05585,0.01839,0.03746,-0.1,0.01186,42.15851602
NASA LRN 1015,0.06623,-0.010938,0.077168,-1.4,0.01353,36.954915
