Airfoils,t0.75c,Cd,Cl/Cd,cluster
NACA 63A010,0.0509,0.01236,40.45307443,2
NACA 63012A,0.060520000000000004,0.012440000000000001,40.19292605,2
NACA 63-015A,0.07462,0.013640000000000001,36.6568915,2
NACA 63-210,0.04332,0.011170000000000001,44.76275739,0
NACA 63-212,0.05112,0.01127,44.36557232,0
NACA 63-215,0.06238,0.01205,41.49377593,2
NACA 63(2)-215 MOD B,0.0623,0.01325,37.73584906,2
NACA 63-412,0.05108,0.01113,44.92362983,0
NACA 63-415,0.06234,0.01236,40.45307443,2
NACA 64-008A ,0.042339999999999996,0.011179999999999999,44.72271914,0
NASA-LANGLEY 64-012,0.0539,0.01185,42.19409283,0
NACA 64-012A,0.062360000000000006,0.01259,39.71405878,2
NACA 642-015,0.06592,0.01294,38.63987635,2
NACA 642-015A,0.07694,0.0141,35.46099291,2
NACA 64-108,0.03708,0.01077,46.42525534,0
NACA 64-110,0.04562,0.011009999999999999,45.41326067,0
NACA 64(1)-212,0.0539,0.0116,43.10344828,0
NACA 64(1)-212 MOD A,0.053871,0.01295,38.61003861,2
NACA 64(1)-212 MOD B,0.0539,0.011770000000000001,42.4808836,0
NACA 64-215,0.06592,0.01278,39.12363067,2
NACA 66-021,0.12502,0.016819999999999998,29.72651605,1
NACA 63-206,0.02684,0.01011,49.45598417,0
NACA 63-209,0.03932,0.01083,46.16805171,0
NACA 63(2)-615,0.0623,0.01201,41.63197336,2
NACA 63(2)A-015,0.07447999999999999,0.01259,39.71405878,2
NACA 63(3)-018,0.0731,0.01454,34.38789546,2
NACA 63(3)-218,0.07297999999999999,0.01341,37.28560776,2
NACA 63,0.07282999999999999,0.01128,44.32624113,0
NACA 63(3)-618,0.0729,0.01349,37.06449222,2
NACA 63(4)-221,0.08317999999999999,0.0144,34.72222222,1
NACA 63(4)-421,0.08313999999999999,0.013940000000000001,35.86800574,2
NACA 63A210,0.05088,0.012159999999999999,41.11842105,2
NACA 64(1)-112,0.0539,0.011609999999999999,43.06632214,0
NACA 64-206,0.028239999999999998,0.010029999999999999,49.85044865,0
NACA 64-208,0.03708,0.01052,47.52851711,0
NACA 64-209,0.04138,0.01105,45.24886878,0
NACA 64-210,0.04562,0.01149,43.51610096,0
NACA 64(2)-215,0.06592,0.01278,39.12363067,2
NACA 64(2)-415,0.06588,0.012190000000000001,41.01722724,2
NACA 64(3)-218,0.0773,0.01318,37.93626707,2
NACA 64(3)-418,0.07728,0.01275,39.21568627,2
NACA 64(3)-618,0.07718,0.013609999999999999,36.73769287,2
NACA 64(4)-221,0.0883,0.01462,34.199726399999996,1
NACA 64(4)-421,0.08826,0.013969999999999998,35.79098067,1
NACA 64A-010 10.0%,0.052410000000000005,0.0124,40.32258065,2
NACA 64A210,0.05244,0.01188,42.08754209,0
